Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
1514771460000,724.08000000,726.39000000,724.08000000,725.48000000,14.26507000,1514771519999,10339.36232380,22,7.36365000,5339.49156990,0
1514771520000,724.52000000,726.14000000,724.50000000,724.57000000,42.99686000,1514771579999,31175.97619010,54,14.28090000,10358.77822090,0
1514771580000,724.51000000,724.53000000,724.03000000,724.04000000,16.60068000,1514771639999,12022.20185690,37,1.90033000,1376.20371180,0
1514771640000,724.09000000,724.13000000,723.01000000,723.09000000,27.73373000,1514771699999,20072.72315520,43,17.72153000,12829.47610100,0
1514771700000,723.10000000,723.10000000,718.52000000,721.00000000,163.37580000,1514771759999,117822.69382860,203,30.43609000,21981.14763740,0
1514771760000,719.15000000,720.89000000,719.00000000,719.17000000,61.28834000,1514771819999,44079.72613730,100,45.25752000,32548.97478640,0
1514771820000,719.17000000,719.19000000,719.16000000,719.16000000,22.98467000,1514771879999,16529.76163760,48,5.00554000,3599.83845700,0
1514771880000,719.16000000,719.17000000,717.07000000,718.00000000,31.53159000,1514771939999,22646.18179040,71,13.99626000,10057.39706770,0
1514771940000,717.58000000,718.01000000,716.80000000,717.97000000,32.33769000,1514771999999,23207.06783730,40,17.79747000,12776.45558760,0
1514772000000,717.67000000,720.55000000,717.59000000,720.55000000,34.86499000,1514772059999,25051.51902890,48,27.29990000,19618.12328030,0
1514772060000,720.01000000,722.83000000,720.01000000,722.83000000,34.49179000,1514772119999,24898.86348410,48,30.05123000,21699.70720560,0
1514772120000,721.62000000,722.83000000,720.33000000,722.63000000,89.05609000,1514772179999,64351.25147930,38,81.17282000,58668.48606260,0
1514772180000,722.00000000,722.83000000,721.25000000,722.65000000,27.76764000,1514772239999,20063.44156290,39,19.18522000,13865.54309970,0
1514772240000,722.00000000,722.65000000,720.80000000,722.00000000,27.90882000,1514772299999,20151.33270340,42,19.76477000,14275.44490840,0
1514772300000,722.00000000,722.00000000,721.17000000,721.64000000,14.11844000,1514772359999,10190.90324410,12,10.16155000,7336.60908610,0
1514772360000,721.99000000,722.64000000,721.16000000,722.64000000,10.41753000,1514772419999,7526.54050530,42,7.25674000,5243.25042770,0
1514772420000,722.64000000,722.83000000,720.00000000,720.01000000,56.05960000,1514772479999,40443.96942360,102,22.52519000,16267.30577720,0
1514772480000,720.01000000,720.99000000,720.01000000,720.05000000,49.97083000,1514772539999,35990.85995870,43,18.65551000,13443.27771270,0
1514772540000,720.09000000,721.19000000,720.00000000,720.05000000,42.38470000,1514772599999,30518.97155630,42,6.71645000,4836.94239490,0
1514772600000,721.19000000,723.71000000,720.05000000,723.05000000,50.38106000,1514772659999,36403.37819430,101,44.14419000,31901.64237970,0
1514772660000,723.05000000,724.00000000,721.82000000,723.89000000,85.58825000,1514772719999,61882.80259950,197,47.40279000,34305.02574450,0
1514772720000,722.33000000,723.78000000,722.00000000,723.76000000,64.61237000,1514772779999,46700.81228290,117,24.16604000,17476.13687560,0
1514772780000,723.76000000,724.00000000,722.28000000,724.00000000,71.75931000,1514772839999,51935.20955440,55,62.08516000,44943.21576300,0
1514772840000,723.04000000,725.74000000,723.04000000,725.00000000,54.90973000,1514772899999,39778.46275280,55,27.23485000,19733.41674290,0
1514772900000,725.00000000,725.75000000,724.90000000,724.90000000,39.64173000,1514772959999,28740.19525400,62,3.49012000,2531.40528460,0
1514772960000,725.00000000,725.00000000,724.08000000,724.08000000,34.82514000,1514773019999,25233.42187510,65,16.22551000,11761.88952030,0
1514773020000,724.08000000,724.77000000,723.00000000,723.69000000,38.25086000,1514773079999,27692.36696660,61,2.85471000,2066.82597650,0
1514773080000,723.01000000,724.08000000,720.42000000,720.42000000,64.86349000,1514773139999,46928.70324680,77,23.89563000,17293.39065260,0
1514773140000,721.99000000,723.10000000,720.32000000,721.71000000,20.84653000,1514773199999,15026.25986990,60,9.41822000,6793.16944480,0
1514773200000,721.62000000,721.67000000,720.40000000,720.40000000,0.58676000,1514773259999,422.80427000,6,0.03800000,27.42283000,0
1514773260000,720.41000000,721.55000000,720.07000000,720.07000000,11.18631000,1514773319999,8059.16124340,31,9.11790000,6569.25381580,0
1514773320000,720.06000000,721.57000000,720.06000000,721.54000000,19.75858000,1514773379999,14235.90844060,39,8.55462000,6166.73596460,0
1514773380000,721.54000000,723.00000000,720.95000000,720.95000000,44.80401000,1514773439999,32325.41053800,33,37.97473000,27401.76262200,0
1514773440000,721.40000000,722.00000000,721.37000000,721.38000000,7.19317000,1514773499999,5190.31841700,10,2.71125000,1957.13050840,0
1514773500000,721.40000000,721.97000000,721.39000000,721.97000000,3.87587000,1514773559999,2796.84634810,19,1.53928000,1111.25160560,0
1514773560000,721.97000000,721.98000000,721.00000000,721.91000000,8.88309000,1514773619999,6408.50488400,30,2.00167000,1445.09998110,0
1514773620000,721.91000000,721.97000000,721.01000000,721.01000000,8.32415000,1514773679999,6004.17767990,15,2.56943000,1854.40416230,0
1514773680000,721.10000000,721.97000000,721.00000000,721.97000000,33.92840000,1514773739999,24475.48211950,55,16.96353000,12240.17195750,0
1514773740000,721.97000000,721.98000000,720.33000000,720.92000000,54.01817000,1514773799999,38975.96876700,81,29.84787000,21540.35092360,0
1514773800000,720.33000000,720.92000000,718.06000000,719.96000000,36.05616000,1514773859999,25947.34132600,48,18.58993000,13379.76634110,0
1514773860000,719.91000000,720.54000000,719.91000000,720.53000000,65.65483000,1514773919999,47270.43467710,73,16.02677000,11539.36211570,0
1514773920000,720.53000000,721.21000000,719.97000000,719.99000000,35.70786000,1514773979999,25711.16422930,31,24.30268000,17499.37739830,0
1514773980000,720.00000000,721.70000000,719.99000000,721.67000000,25.58602000,1514774039999,18451.67013060,49,19.96191000,14399.29357430,0
1514774040000,721.59000000,721.70000000,720.43000000,721.00000000,19.71457000,1514774099999,14225.70994630,39,17.24944000,12448.47321730,0
1514774100000,720.56000000,721.81000000,720.50000000,721.81000000,49.01614000,1514774159999,35334.84017900,70,28.54688000,20584.92852170,0
1514774160000,721.81000000,721.81000000,720.50000000,720.50000000,31.36765000,1514774219999,22604.20702310,39,1.53652000,1108.50776280,0
1514774220000,721.00000000,721.28000000,720.02000000,720.10000000,24.33441000,1514774279999,17536.14193520,43,3.24933000,2343.00436710,0
1514774280000,720.07000000,720.79000000,720.07000000,720.47000000,14.01083000,1514774339999,10089.59089210,16,1.07078000,771.53805160,0
1514774340000,720.46000000,720.75000000,720.20000000,720.75000000,18.16004000,1514774399999,13083.76797020,52,4.02713000,2901.47711970,0
1514774400000,720.47000000,720.76000000,720.47000000,720.76000000,18.84169000,1514774459999,13578.99267230,36,10.93831000,7883.56374950,0
1514774460000,720.47000000,720.77000000,720.08000000,720.51000000,41.02693000,1514774519999,29554.90069870,50,24.05841000,17335.57179900,0
1514774520000,720.51000000,720.74000000,720.50000000,720.52000000,32.25772000,1514774579999,23242.38873200,22,12.66864000,9128.12952800,0
1514774580000,720.72000000,720.74000000,720.51000000,720.74000000,100.62937000,1514774639999,72522.47025470,43,84.57331000,60951.23347250,0
1514774640000,720.53000000,722.85000000,720.51000000,722.85000000,154.81126000,1514774699999,111610.48234190,95,131.07905000,94489.49435830,0
1514774700000,722.79000000,723.61000000,722.00000000,723.57000000,21.54729000,1514774759999,15579.92433240,33,9.34135000,6758.62043410,0
1514774760000,723.57000000,724.08000000,722.23000000,723.68000000,14.48507000,1514774819999,10478.67808540,53,10.36483000,7500.07558020,0
1514774820000,722.42000000,724.00000000,722.42000000,722.62000000,23.76866000,1514774879999,17180.48051270,17,11.14299000,8057.01612850,0
1514774880000,723.02000000,724.00000000,722.66000000,724.00000000,14.16773000,1514774939999,10246.23075130,19,5.84981000,4235.09743340,0
1514774940000,722.88000000,724.00000000,722.88000000,723.94000000,15.74215000,1514774999999,11386.89685500,21,7.31582000,5294.82980820,0
1514775000000,723.94000000,724.90000000,722.00000000,724.90000000,58.32898000,1514775059999,42206.46001470,54,30.23181000,21891.70304900,0
1514775060000,724.80000000,725.00000000,724.69000000,724.71000000,30.05230000,1514775119999,21783.62830820,37,20.05760000,14540.37469630,0
1514775120000,724.71000000,725.00000000,724.08000000,724.09000000,36.38108000,1514775179999,26366.99524970,50,7.00989000,5082.05960870,0
1514775180000,724.09000000,724.60000000,722.37000000,722.37000000,25.06908000,1514775239999,18149.09400230,58,7.89798000,5721.29464230,0
1514775240000,722.37000000,724.05000000,722.22000000,722.61000000,19.68205000,1514775299999,14220.49279780,48,7.63093000,5514.30280480,0
1514775300000,722.61000000,722.61000000,722.40000000,722.56000000,31.36976000,1514775359999,22665.24839340,69,10.62263000,7675.20852130,0
1514775360000,722.60000000,723.74000000,722.03000000,722.17000000,19.13699000,1514775419999,13826.08910360,47,2.14499000,1551.10864710,0
1514775420000,722.17000000,723.10000000,722.02000000,722.14000000,17.43539000,1514775479999,12590.85191460,33,1.38619000,1001.23545520,0
1514775480000,722.13000000,722.38000000,722.01000000,722.36000000,45.79063000,1514775539999,33069.07538270,59,17.21837000,12437.40124570,0
1514775540000,722.37000000,724.05000000,722.22000000,724.05000000,21.04720000,1514775599999,15233.15784510,28,18.70927000,13543.62548270,0
1514775600000,723.95000000,724.05000000,722.70000000,724.00000000,11.76589000,1514775659999,8513.77880160,23,5.47027000,3960.57135870,0
1514775660000,724.00000000,724.08000000,722.89000000,724.07000000,95.52281000,1514775719999,69164.96913930,74,85.42876000,61856.56863310,0
1514775720000,724.07000000,724.08000000,724.06000000,724.06000000,24.68525000,1514775779999,17873.81861320,21,0.64299000,465.57159920,0
1514775780000,724.06000000,724.07000000,722.97000000,722.97000000,0.33000000,1514775839999,238.72955450,6,0.17344000,125.48577040,0
